Unnamed: 0,title,author,year,publication_year,description,Genre,Author_Rating,total_weeks,best_rank,worst_rank,mean_rank,debut_rank,average_rating,ratings_count,rating,review_text,n_votes,is_expert,Units_Sold,Gross_Sales,Sale_Price,Sales_Rank,Commercial_success,Popular_success,Critical_success
1410,Baby Proof,Emily Giffin,2006,2012,"A novel that explores the question: Is there ever a deal-breaker when it comes to true love?
Claudia Parr has everything going for her. A successful editor at a publishing house in Manhattan, she's also a devoted sister, aunt, and friend. Yet she's never wanted to become a mother--which she discovers is a major hurdle to marriage, something she desperately wants. Then she meets her soul mate Ben who, miraculously, feels the same way about parenthood. The two fall in love and marry, committed to one another and their life of adventure and discovery. All's well until one of them has a change of heart. Someone wants a baby after all.
This is the witty, heartfelt story about what happens to the perfect couple when they suddenly want different things and there is no compromise. It's about deciding what is most important in life and wagering everything to get it. And most of all, it's about the things we will--and won't--do for love.",Nonfiction,Intermediate,4,10,13,11.75,13,3.71,123,3.0,"Although it's so predictable, I had fun reading it",0.0,0,900,5841.0,6.49,120,2,1,3
1411,Dirk Gently'S Holistic Detective Agency,Douglas Adams,1987,2016,"There is a long tradition of Great Detectives, and Dirk Gently does not belong to it. But his search for a missing cat uncovers a ghost, a time traveler, AND the devastating secret of humankind! Detective Gently's bill for saving the human race from extinction: NO CHARGE.",Nonfiction,Intermediate,14,5,14,7.857142857142857,11,3.97,25,3.0,Okay so I was gifted this for Christmas from my family because I LOVE THE NEW BBC AMERICA show under the same name. Unbeknownst to me I read the second one last year and it wasn't until I watched the show I made the connection. The first 80 pages were excruciating to get into. At 100 it finally started to pick up. This book is about 30% similar to the TV. Also random and disjointed as this book was I still liked Dirk's character. But the story in the TV show was more cohesive. I was annoyed most of the book. But that's okay at least the cover has Dirk on it!,0.0,0,4320,12916.8,2.99,566,4,3,3
1412,Deadlock,Catherine Coulter,2020,2014,"Charlie Petty is a man known for having ice water in this veins. He never backs down and is never shaken but unfortunately stirred up into the wrong crowd. As a degenerate gambler, his luck has run out and his debt has now come due.
Charlie is offered a chance to clear his tab: simply stay alone on a ship overnight to prove to its owner and potential crew that it's not cursed nor haunted. Never mind the ship's history of suicide, violence, mutiny and murder. Or how the ship's past crews have gone missing or insane. The fact that no one has set foot on deck in darkness for years doesn't phase Charlie one bit. It sounds like easy money to bust up a superstition or two.
Charlie thinks his luck is returning. Little does he know it's about to run out completely.",Nonfiction,Intermediate,1,8,8,8.0,15,3.62,125,4.0,"What a perfect cover to set the mood for this horror novella from DarkFuse! From the synopsis, you know going into the book things aren't going to turn out well for Charlie. 
 Yes, the ""spend one night in a haunted house, graveyard, etc..."" has been done many times, but I'm always a sucker for reading about it, and a ship was a new setting for me. Charlie went into this situation with bravado, chest puffed out, knowing he could do this. And then things rapidly went down hill for him. Much of what happens is in his own mind, but don't let that be deceiving. There were some pretty gory parts that weren't for the faint-hearted. If you read this at home alone, you would definitely be looking over your shoulder. 
 While Charlie was initially skeptical of the hauntings, I felt as if he did an about-face very suddenly rather than gradually changing his mind; however, I found it interesting that he discovered he wasn't the person he'd always believed himself to be. Some of the descriptions also became a little repetitive but, overall, I thought the author did an excellent job with imagery. 
 This novella can easily be finished in one sitting and I would recommend it to horror fans and readers who aren't squeamish. 
 This review is based on a digital ARC from the publisher through NetGalley.",0.0,0,106,1058.94,9.99,1255,1,2,4
1413,Sybil,Louis Auchincloss,1952,1973,Novell,Nonfiction,Intermediate,1,15,15,15.0,16,4.0,138,4.0,"the 1st time I read this this I think I was about 9 or 10. I found this true story to be Sad, Moving, and finally some what uplifting. Rereading this as an adult I can not imagine how hard of a life she had & still found a way to survive & then live.",0.0,0,35640,151826.4,4.26,809,5,1,4
1414,Deadlock,Iris Johansen,2009,2014,"Charlie Petty is a man known for having ice water in this veins. He never backs down and is never shaken but unfortunately stirred up into the wrong crowd. As a degenerate gambler, his luck has run out and his debt has now come due.
Charlie is offered a chance to clear his tab: simply stay alone on a ship overnight to prove to its owner and potential crew that it's not cursed nor haunted. Never mind the ship's history of suicide, violence, mutiny and murder. Or how the ship's past crews have gone missing or insane. The fact that no one has set foot on deck in darkness for years doesn't phase Charlie one bit. It sounds like easy money to bust up a superstition or two.
Charlie thinks his luck is returning. Little does he know it's about to run out completely.",Nonfiction,Intermediate,1,8,8,8.0,11,3.62,125,4.0,"What a perfect cover to set the mood for this horror novella from DarkFuse! From the synopsis, you know going into the book things aren't going to turn out well for Charlie. 
 Yes, the ""spend one night in a haunted house, graveyard, etc..."" has been done many times, but I'm always a sucker for reading about it, and a ship was a new setting for me. Charlie went into this situation with bravado, chest puffed out, knowing he could do this. And then things rapidly went down hill for him. Much of what happens is in his own mind, but don't let that be deceiving. There were some pretty gory parts that weren't for the faint-hearted. If you read this at home alone, you would definitely be looking over your shoulder. 
 While Charlie was initially skeptical of the hauntings, I felt as if he did an about-face very suddenly rather than gradually changing his mind; however, I found it interesting that he discovered he wasn't the person he'd always believed himself to be. Some of the descriptions also became a little repetitive but, overall, I thought the author did an excellent job with imagery. 
 This novella can easily be finished in one sitting and I would recommend it to horror fans and readers who aren't squeamish. 
 This review is based on a digital ARC from the publisher through NetGalley.",0.0,0,106,1058.94,9.99,1255,1,2,4
1415,Where We Belong,Emily Giffin,2012,2012,"Marian Caldwell is a thirty-six year old television producer, living her dream in New York City. With a fulfilling career and satisfying relationship, she has convinced everyone, including herself, that her life is just as she wants it to be. But one night, Marian answers a knock on the door . . . only to find Kirby Rose, an eighteen-year-old girl with a key to a past that Marian thought she had sealed off forever. From the moment Kirby appears on her doorstep, Marian's perfectly constructed world--and her very identity--will be shaken to its core, resurrecting ghosts and memories of a passionate young love affair that threaten everything that has come to define her.
For the precocious and determined Kirby, the encounter will spur a process of discovery that ushers her across the threshold of adulthood, forcing her to re-evaluate her family and future in a wise and bittersweet light. As the two women embark on a journey to find the one thing missing in their lives, each will come to recognize that where we belong is often where we least expect to find ourselves--a place that we may have willed ourselves to forget, but that the heart remembers forever.",Nonfiction,Intermediate,7,2,14,5.571428571428571,16,3.87,69135,4.0,"Good read. Kinder, gentler than I've been reading recently.",0.0,0,32616,32289.84,0.99,845,5,3,4
1416,The Polar Express,written and illustrated by Chris Van Allsburg,1985,2000,"The Polar Express is a treasured holiday tradition. This lavish gift set includes a CD audio recording read by Liam Neeson, a keepsake ""All Aboard"" ornament, and a note from author Chris Van Allsburg.
Awarded the prestigious Caldecott Medal in 1986, The Polar Express has sold more than 7 million copies, become a classic holiday movie, and been translated into stage productions that take place across the United States during the holiday season.",Nonfiction,Intermediate,34,3,15,6.411764705882353,9,4.29,175318,0.0,#10 on the NEA Educators' Top 100 Children's Book List,0.0,0,1046,1035.54,0.99,97,2,5,4
1417,A Painted House,John Grisham,2001,2004,"Until that September of 1952, Luke Chandler had never kept a secret or told a single lie. But in the long, hot summer of his seventh year, two groups of migrant workers -- and two very dangerous men -- came through the Arkansas Delta to work the Chandler cotton farm. And suddenly mysteries are flooding Luke's world.
A brutal murder leaves the town seething in gossip and suspicion. A beautiful young woman ignites forbidden passions. A fatherless baby is born ... and someone has begun furtively painting the bare clapboards of the Chandler farmhouse, slowly, painstakingly, bathing the run-down structure in gleaming white. And as young Luke watches the world around him, he unravels secrets that could shatter lives -- and change his family and his town forever....
From the Paperback edition.",Nonfiction,Intermediate,22,1,12,4.5,7,3.67,60826,4.0,john grisham tried to be more humane.,0.0,0,107,105.93,0.99,1232,1,5,4
1418,Shanghai Girls,Lisa See,2009,2009,"In 1937, Shanghai is the Paris of Asia, a city of great wealth and glamour, the home of millionaires and beggars, gangsters and gamblers, patriots and revolutionaries, artists and warlords. Thanks to the financial security and material comforts provided by their father's prosperous rickshaw business, twenty-one-year-old Pearl Chin and her younger sister, May, are having the time of their lives. Though both sisters wave off authority and tradition, they couldn't be more different: Pearl is a Dragon sign, strong and stubborn, while May is a true Sheep, adorable and placid. Both are beautiful, modern, and carefree . . . until the day their father tells them that he has gambled away their wealth and that in order to repay his debts he must sell the girls as wives to suitors who have traveled from California to find Chinese brides.
As Japanese bombs fall on their beloved city, Pearl and May set out on the journey of a lifetime, one that will take them through the Chinese countryside, in and out of the clutch of brutal soldiers, and across the Pacific to the shores of America. In Los Angeles they begin a fresh chapter, trying to find love with the strangers they have married, brushing against the seduction of Hollywood, and striving to embrace American life even as they fight against discrimination, brave Communist witch hunts, and find themselves hemmed in by Chinatown's old ways and rules.
At its heart, Shanghai Girlsis a story of sisters: Pearl and May are inseparable best friends who share hopes, dreams, and a deep connection, but like sisters everywhere they also harbor petty jealousies and rivalries. They love each other, but each knows exactly where to drive the knife to hurt the other the most. Along the way they face terrible sacrifices, make impossible choices, and confront a devastating, life-changing secret, but through it all the two heroines of this astounding new novel hold fast to who they are-Shanghai girls.
From the Hardcover edition.",Nonfiction,Intermediate,10,4,15,9.2,6,3.88,79,4.0,"Felt the end was a bit of a cope out by the author, but I thought the rest of the book was good.",0.0,0,308,2152.92,6.99,315,1,2,4
1419,Sybil,Louis Auchincloss,1952,1974,"Here is the unbelievable yet true story of Sybil Dorsett, a survivor of terrible childhood abuse who as an adult was a victim of sudden, mysterious blackouts. What happened during those blackouts has made Sybil's experience one of the most famous psychological cases in the world.
Dedication
The Family Tree: The Hierarchy of the 16 Selves
Cast of Characters & Dates of 'Birth'
Preface: Sybil
Acknowledgments
Being
Becoming
Unbecoming
Reentry
Epilogue: The New Sybil's New Time
Psychological Index",Nonfiction,Intermediate,1,15,15,15.0,16,4.0,327,4.0,"One of the few books I read in which I saw the movie first and read the book anyway. Both were excellent, the book of course offers more detail, some of which I am not sure I needed. It will scare the hell out of you, mostly because it is based on a true and very tragic story.",0.0,0,35640,151826.4,4.26,809,5,1,4
1420,Four Past Midnight,Stephen King,1990,1991,"You are strapped in an airline seat on a flight beyond hell. You are forced into a hunt for the most horrifying secret a small town ever hid. You are trapped in the demonic depths of a writer's worst nightmare. You are focusing in on a beast bent on shredding your sanity.
You are in the hands of Stephen King at his mind-blowing best with an extraordinary quartet of full-length novellas guaranteed to set your heart-stopwatch at- FOUR PAST MIDNIGHT.
Contents:
Straight Up Midnight
(An Introductory Note)
The Langoliers
Secret Window, Secret Garden
The Library Policeman
The Sun Dog",Nonfiction,Intermediate,22,1,13,3.3181818181818183,12,3.9,77840,2.0,"I dug ""The Langoliers"" (which, as is done with quite a bit of King's writing, was turned into a truly awful TV movie). I can't seem to recall what the other stories were - even finding the titles on Amazon didn't bring back any memories.",0.0,0,37368,201039.84,5.38,779,5,5,2
1421,House Rules,Jodi Picoult,2010,2010,"One of America' s most popular authors, Jodi Picoult has earned a reputation for crafting riveting, topical fiction. In House Rules she examines how being different can have dire consequences. Teenager Jacob Hunt has Asperger' s syndrome. A forensic science wizard, he follows his scanner to show up at crime scenes and give law enforcement officials his advice. But when his tutor is found dead, he becomes a suspect. Suddenly, his Asperger' s traits-- not looking people in the eye, tics and twitches-- look more like guilt in the view of police.",Nonfiction,Intermediate,9,1,12,5.444444444444445,3,4.01,74,4.0,Another great story by Jodi Picoult. I love her writing style. This one kept me on the edge of my seat. The only thing that kept me from giving it five stars was the romance angle.....it seemed a little unrealistic. And I wish the ending would've been more detailed; it seemed to end a bit abruptly.,0.0,0,365,4084.35,11.19,281,2,4,4
1422,Dirk Gently'S Holistic Detective Agency,Douglas Adams,1987,2016,"There is a long tradition of Great Detectives, and Dirk Gently does not belong to it. But his search for a missing cat uncovers a ghost, a time traveler, AND the devastating secret of humankind! Detective Gently's bill for saving the human race from extinction: NO CHARGE.",Nonfiction,Intermediate,14,5,14,7.857142857142857,11,3.97,25,3.0,Okay so I was gifted this for Christmas from my family because I LOVE THE NEW BBC AMERICA show under the same name. Unbeknownst to me I read the second one last year and it wasn't until I watched the show I made the connection. The first 80 pages were excruciating to get into. At 100 it finally started to pick up. This book is about 30% similar to the TV. Also random and disjointed as this book was I still liked Dirk's character. But the story in the TV show was more cohesive. I was annoyed most of the book. But that's okay at least the cover has Dirk on it!,0.0,0,4320,12916.8,2.99,566,4,3,3
1423,Christine,Stephen King,1983,2004,"""This is the story of a lover's triangle...It was bad from the start. And it got worse in a hurry.""
It's love at first sight for high school student Arnie Cunningham when he and his best friend Dennis Guilder spot the dilapidated 1958 red-and-white Plymouth Fury for sale--dubbed ""Christine"" by its original cantankerous owner--rusting away on a front lawn of their suburban Pennsylvania neighborhood. Dennis knows that Arnie's never had much luck in the looks or popularity department, or really taken an interest in owning a car . . . but Christine quickly changes all that. Arnie suddenly has the newfound confidence to stick up for himself, going as far as dating the most beautiful girl at Libertyville High--transfer student Leigh Cabot--even as a mysteriously restored Christine systematically and terrifyingly consumes every aspect of Arnie's life. Dennis and Leigh soon realize that they must uncover the awful truth behind a car with a horrifying and murderous history. Hell hath no fury like a woman scorned, and heaven help anyone who gets in Christine's way...",Nonfiction,Intermediate,32,2,14,5.96875,4,3.73,1830,3.0,"I had mixed feelings about this one. I did enjoy the underlying themes, and many parts were undoubtedly hair-raising (in a good way), but at times this book felt tacky. Don't get me wrong, if anyone can make a vintage car scary it's Stephen King, but every once in a while I couldn't help but chuckle at how overblown some parts of the story felt. I found this, alongside the frequent instances of misogyny (I know it's from a teenage boy's perspective but come on), difficult to reconcile, but overall the story was great and I really did enjoy reading it. As always, King does an amazing job of making the mundane exceedingly creepy, and the faint plausibility of his stories makes them that much more terrifying.",0.0,0,1784,1766.16,0.99,49,3,4,3
1424,Someone Like You,Karen Kingsbury,2020,2014,"You can't program love...or can you?
Kayleigh Renshaw has come up with the idea for a brilliant ""compatibility app,"" a new kind of matchmaking software. All she needs is a programmer to help her bring the idea to market...and she knows exactly who she wants. But Niall Walsh--a code whiz and her former best friend--has been avoiding her since he returned from Afghanistan. In spite of their history, and some sparks that go beyond friendship, he's proving reluctant.... Is it her, or is something darker holding him back?
*Wholesome Romance, New York City , Internet Dating , Clean Romance , War Veteran , Wounded Hero",Nonfiction,Intermediate,1,15,15,15.0,15,4.01,73,4.0,"This is a friend's reconnect as adult's story. This story unfolded a little slow for me. Once I got into the story I enjoyed reading it. 
 Niall is a veteran who suffers from survivor's guilt. Kayleigh needs Niall's computer skills. Can they work together to create what Kayleigh needs and help heal Niall all at once? 
 Or has too many things happened that they can no longer connect to even be friends? 
 I recommend this story if you like a sweet read with not a lot of heat",0.0,0,36936,110438.64,2.99,786,5,1,4
1425,Dirk Gently'S Holistic Detective Agency,Douglas Adams,1987,2016,"There is a long tradition of Great Detectives, and Dirk Gently does not belong to it. But his search for a missing cat uncovers a ghost, a time traveler, AND the devastating secret of humankind! Detective Gently's bill for saving the human race from extinction: NO CHARGE.",Nonfiction,Intermediate,14,5,14,7.857142857142857,11,3.97,25,3.0,Okay so I was gifted this for Christmas from my family because I LOVE THE NEW BBC AMERICA show under the same name. Unbeknownst to me I read the second one last year and it wasn't until I watched the show I made the connection. The first 80 pages were excruciating to get into. At 100 it finally started to pick up. This book is about 30% similar to the TV. Also random and disjointed as this book was I still liked Dirk's character. But the story in the TV show was more cohesive. I was annoyed most of the book. But that's okay at least the cover has Dirk on it!,0.0,0,4320,12916.8,2.99,566,5,4,3
1426,The Eyes Of The Dragon,Stephen King,1987,1987,"A captivating tale of heroic adventure, of dragons and princes, of mysterious mice and magical men, as only Stephen King can tell it.
The king is dead, murdered by a strange and horrible poison. But while the land of Delain mourns, the magician Flagg, unscrupulous, greedy and powerful, plots. Soon the king's oldest son, Peter is imprisoned at the top of a high tower, the Needle, for his father's murder, while his younger brother Thomas inherits the throne.
Only Peter knows the truth of his own innocence, and the truth of the evil that is Flagg. And only Peter can save Delain from the horror Flagg has in store. He has a plan, but it is dangerous and desperate and if he fails there will be no second chance. And all the while, Flagg's words echo in his mind: ""I'll carry your head on my saddle-horn for a thousand years. Here I come, Peter! Coming for your head!""",Nonfiction,Intermediate,25,1,16,6.346153846153846,5,3.92,203,3.0,"I don't remember a lot about this one, beyond the fact that I definitely read it as a teenager.",0.0,0,33264,199251.36,5.99,837,5,5,3
